City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
561,desaguadero,PE,-16.5656,-69.0417,54.9,52,38,12.55,scattered clouds
562,champerico,GT,14.3,-91.9167,95.54,60,2,13.91,clear sky
563,aylmer,CA,42.7668,-80.983,39.76,60,99,16.75,overcast clouds
564,banda aceh,ID,5.5577,95.3222,77.36,84,100,7.81,overcast clouds
565,petropavl,KZ,54.8753,69.1628,38.82,84,100,10.58,overcast clouds
566,san cristobal,VE,7.7669,-72.225,82.58,49,43,6.51,scattered clouds
567,george town,MY,5.4112,100.3354,78.73,93,20,2.3,few clouds
568,collie,AU,-33.3667,116.15,60.44,90,100,9.55,overcast clouds
569,burgersdorp,ZA,-30.9977,26.3286,57.58,91,0,9.13,light rain
570,poum,NC,-20.2333,164.0167,81.99,82,100,17.81,overcast clouds
571,kungurtug,RU,50.5994,97.5228,28.49,86,100,2.71,overcast clouds
572,ossora,RU,59.2353,163.0719,11.89,84,39,5.95,scattered clouds
573,sola,VU,-13.8833,167.55,79.29,72,100,9.6,overcast clouds
574,dalbandin,PK,28.8947,64.4101,74.84,9,2,5.44,clear sky
575,pimentel,PE,-6.8367,-79.9342,82.69,47,0,17.27,clear sky
576,saint-augustin,CA,51.226,-58.6502,36.39,91,74,15.19,broken clouds
577,west fargo,US,46.875,-96.9004,38.01,66,100,4.61,overcast clouds
578,ogulin,HR,45.2661,15.2286,30.61,81,22,0.92,few clouds
579,touros,BR,-5.1989,-35.4608,79.02,85,99,11.7,overcast clouds
580,okhotsk,RU,59.3833,143.3,17.02,92,100,8.77,overcast clouds
581,amboasary,MG,-25.0333,46.3833,72.46,91,0,7.67,clear sky
582,isparta,TR,38.0,31.0,48.97,51,61,19.01,broken clouds
583,umea,SE,63.8284,20.2597,27.91,100,0,2.3,clear sky
584,tahe,CN,52.3333,124.7333,28.63,80,34,11.41,scattered clouds
585,rapid city,US,44.0805,-103.231,57.42,25,0,33.38,clear sky
